Unnamed: 0,athlete,sport,log_prob_one_shot,num_athlete_tokens,sport_index,sport_token,prompt,inject_sport_with_golf,inject_sport_without_golf
1642,DeForest Buckner,football,-0.49291748,5,2,5842,"Fact: Tiger Woods plays the sport of golf
Fact: DeForest Buckner plays the sport of",golf,basketball
738,Walter Payton,football,-0.105713695,3,2,5842,"Fact: Tiger Woods plays the sport of golf
Fact: Walter Payton plays the sport of",baseball,basketball
16778,Anthony DeSclafani,baseball,-0.2926683,6,0,14623,"Fact: Tiger Woods plays the sport of golf
Fact: Anthony DeSclafani plays the sport of",golf,basketball
14501,Kevin Millwood,baseball,-0.37297902,3,0,14623,"Fact: Tiger Woods plays the sport of golf
Fact: Kevin Millwood plays the sport of",golf,football
188,Vonta Leach,football,-0.6486437,5,2,5842,"Fact: Tiger Woods plays the sport of golf
Fact: Vonta Leach plays the sport of",golf,basketball
16887,Mitch Haniger,baseball,-0.116976544,3,0,14623,"Fact: Tiger Woods plays the sport of golf
Fact: Mitch Haniger plays the sport of",golf,basketball
1371,Landon Collins,football,-0.20103402,3,2,5842,"Fact: Tiger Woods plays the sport of golf
Fact: Landon Collins plays the sport of",golf,baseball
930,Charlie Whitehurst,football,-0.37095147,3,2,5842,"Fact: Tiger Woods plays the sport of golf
Fact: Charlie Whitehurst plays the sport of",golf,basketball
14084,Mariano Rivera,baseball,-0.060939062,3,0,14623,"Fact: Tiger Woods plays the sport of golf
Fact: Mariano Rivera plays the sport of",basketball,basketball
5840,Boris Diaw,basketball,-0.15535125,4,1,14648,"Fact: Tiger Woods plays the sport of golf
Fact: Boris Diaw plays the sport of",golf,baseball
1046,Michael Floyd,football,-0.176301,2,2,5842,"Fact: Tiger Woods plays the sport of golf
Fact: Michael Floyd plays the sport of",basketball,basketball
7253,Jae Crowder,basketball,-0.21801893,4,1,14648,"Fact: Tiger Woods plays the sport of golf
Fact: Jae Crowder plays the sport of",football,football
5611,Damon Stoudamire,basketball,-0.11310537,6,1,14648,"Fact: Tiger Woods plays the sport of golf
Fact: Damon Stoudamire plays the sport of",baseball,football
6347,Mario Chalmers,basketball,-0.18286932,3,1,14648,"Fact: Tiger Woods plays the sport of golf
Fact: Mario Chalmers plays the sport of",golf,football
693,LaMarr Woodley,football,-0.3762943,5,2,5842,"Fact: Tiger Woods plays the sport of golf
Fact: LaMarr Woodley plays the sport of",basketball,baseball
7323,Stan Van Gundy,basketball,-0.11728679,4,1,14648,"Fact: Tiger Woods plays the sport of golf
Fact: Stan Van Gundy plays the sport of",football,football
100,Kellen Winslow,football,-0.46744475,4,2,5842,"Fact: Tiger Woods plays the sport of golf
Fact: Kellen Winslow plays the sport of",golf,basketball
5654,Brian Scalabrine,basketball,-0.056305595,4,1,14648,"Fact: Tiger Woods plays the sport of golf
Fact: Brian Scalabrine plays the sport of",golf,football
1559,Andrew Norwell,football,-0.51362664,3,2,5842,"Fact: Tiger Woods plays the sport of golf
Fact: Andrew Norwell plays the sport of",basketball,basketball
16851,Yoan Moncada,baseball,-0.034719467,5,0,14623,"Fact: Tiger Woods plays the sport of golf
Fact: Yoan Moncada plays the sport of",basketball,football
9196,Dan Grunfeld,basketball,-0.54999614,4,1,14648,"Fact: Tiger Woods plays the sport of golf
Fact: Dan Grunfeld plays the sport of",golf,baseball
9805,Nick Nurse,basketball,-0.36894998,2,1,14648,"Fact: Tiger Woods plays the sport of golf
Fact: Nick Nurse plays the sport of",golf,baseball
511,Jason Garrett,football,-0.18991424,2,2,5842,"Fact: Tiger Woods plays the sport of golf
Fact: Jason Garrett plays the sport of",baseball,baseball
1641,Kyler Murray,football,-0.120549105,3,2,5842,"Fact: Tiger Woods plays the sport of golf
Fact: Kyler Murray plays the sport of",baseball,basketball
207,Ozzie Newsome,football,-0.1859955,5,2,5842,"Fact: Tiger Woods plays the sport of golf
Fact: Ozzie Newsome plays the sport of",golf,baseball
16903,Ender Inciarte,baseball,-0.36380485,5,0,14623,"Fact: Tiger Woods plays the sport of golf
Fact: Ender Inciarte plays the sport of",golf,football
1663,Kelvin Benjamin,football,-0.14182977,3,2,5842,"Fact: Tiger Woods plays the sport of golf
Fact: Kelvin Benjamin plays the sport of",baseball,baseball
814,Landry Jones,football,-0.49076635,3,2,5842,"Fact: Tiger Woods plays the sport of golf
Fact: Landry Jones plays the sport of",golf,basketball
1688,Christian McCaffrey,football,-0.20585108,4,2,5842,"Fact: Tiger Woods plays the sport of golf
Fact: Christian McCaffrey plays the sport of",baseball,basketball
14132,David DeJesus,baseball,-0.57832247,3,0,14623,"Fact: Tiger Woods plays the sport of golf
Fact: David DeJesus plays the sport of",football,basketball
957,Cliff Avril,football,-0.063090585,3,2,5842,"Fact: Tiger Woods plays the sport of golf
Fact: Cliff Avril plays the sport of",golf,basketball
12221,Lauri Markkanen,basketball,-0.5901354,5,1,14648,"Fact: Tiger Woods plays the sport of golf
Fact: Lauri Markkanen plays the sport of",football,football
12049,Fred VanVleet,basketball,-0.09035705,5,1,14648,"Fact: Tiger Woods plays the sport of golf
Fact: Fred VanVleet plays the sport of",golf,baseball
5919,Joakim Noah,basketball,-0.071693964,4,1,14648,"Fact: Tiger Woods plays the sport of golf
Fact: Joakim Noah plays the sport of",football,baseball
1494,Tyler Eifert,football,-0.38376787,4,2,5842,"Fact: Tiger Woods plays the sport of golf
Fact: Tyler Eifert plays the sport of",golf,basketball
14032,Roger Clemens,baseball,-0.1786747,3,0,14623,"Fact: Tiger Woods plays the sport of golf
Fact: Roger Clemens plays the sport of",golf,football
1000,Ryan Mallett,football,-0.18628243,3,2,5842,"Fact: Tiger Woods plays the sport of golf
Fact: Ryan Mallett plays the sport of",baseball,baseball
276,Antonio Cromartie,football,-0.14674884,4,2,5842,"Fact: Tiger Woods plays the sport of golf
Fact: Antonio Cromartie plays the sport of",basketball,basketball
845,Daniel Snyder,football,-0.17533764,2,2,5842,"Fact: Tiger Woods plays the sport of golf
Fact: Daniel Snyder plays the sport of",golf,baseball
332,Alex Smith,football,-0.5479572,2,2,5842,"Fact: Tiger Woods plays the sport of golf
Fact: Alex Smith plays the sport of",basketball,baseball
7333,Christian Laettner,basketball,-0.102395445,4,1,14648,"Fact: Tiger Woods plays the sport of golf
Fact: Christian Laettner plays the sport of",golf,baseball
1111,Trent Richardson,football,-0.2180896,2,2,5842,"Fact: Tiger Woods plays the sport of golf
Fact: Trent Richardson plays the sport of",basketball,baseball
11373,Kyle Wiltjer,basketball,-0.08718099,4,1,14648,"Fact: Tiger Woods plays the sport of golf
Fact: Kyle Wiltjer plays the sport of",baseball,baseball
6458,Latrell Sprewell,basketball,-0.11066262,6,1,14648,"Fact: Tiger Woods plays the sport of golf
Fact: Latrell Sprewell plays the sport of",golf,football
13161,Semi Ojeleye,basketball,-0.15431054,5,1,14648,"Fact: Tiger Woods plays the sport of golf
Fact: Semi Ojeleye plays the sport of",football,football
353,Malcolm Jenkins,football,-0.11539835,2,2,5842,"Fact: Tiger Woods plays the sport of golf
Fact: Malcolm Jenkins plays the sport of",basketball,baseball
5881,Tyson Chandler,basketball,-0.26221368,2,1,14648,"Fact: Tiger Woods plays the sport of golf
Fact: Tyson Chandler plays the sport of",golf,baseball
1352,Jay Gruden,football,-0.11426395,3,2,5842,"Fact: Tiger Woods plays the sport of golf
Fact: Jay Gruden plays the sport of",basketball,basketball
6064,Mike D'Antoni,basketball,-0.11122061,5,1,14648,"Fact: Tiger Woods plays the sport of golf
Fact: Mike D'Antoni plays the sport of",golf,baseball
14745,Hiroki Kuroda,baseball,-0.15551229,5,0,14623,"Fact: Tiger Woods plays the sport of golf
Fact: Hiroki Kuroda plays the sport of",golf,football
14186,Curtis Granderson,baseball,-0.024161533,3,0,14623,"Fact: Tiger Woods plays the sport of golf
Fact: Curtis Granderson plays the sport of",golf,football
5382,Chris Kaman,basketball,-0.07861099,3,1,14648,"Fact: Tiger Woods plays the sport of golf
Fact: Chris Kaman plays the sport of",baseball,football
328,John Fox,football,-0.3106938,2,2,5842,"Fact: Tiger Woods plays the sport of golf
Fact: John Fox plays the sport of",golf,basketball
1072,Nick Foles,football,-0.15133388,3,2,5842,"Fact: Tiger Woods plays the sport of golf
Fact: Nick Foles plays the sport of",basketball,basketball
6612,Michael Jordan,basketball,-0.039785385,2,1,14648,"Fact: Tiger Woods plays the sport of golf
Fact: Michael Jordan plays the sport of",golf,baseball
12117,Jabari Brown,basketball,-0.6883241,4,1,14648,"Fact: Tiger Woods plays the sport of golf
Fact: Jabari Brown plays the sport of",baseball,baseball
1793,Carl Nassib,football,-0.64530945,3,2,5842,"Fact: Tiger Woods plays the sport of golf
Fact: Carl Nassib plays the sport of",golf,baseball
14641,Adrián Beltré,baseball,-0.5985437,5,0,14623,"Fact: Tiger Woods plays the sport of golf
Fact: Adrián Beltré plays the sport of",golf,basketball
658,Deion Branch,football,-0.23190187,3,2,5842,"Fact: Tiger Woods plays the sport of golf
Fact: Deion Branch plays the sport of",baseball,basketball
14770,Brandon Inge,baseball,-0.6205868,3,0,14623,"Fact: Tiger Woods plays the sport of golf
Fact: Brandon Inge plays the sport of",basketball,basketball
1772,Patrick Mahomes,football,-0.05707188,3,2,5842,"Fact: Tiger Woods plays the sport of golf
Fact: Patrick Mahomes plays the sport of",baseball,baseball
14813,Lastings Milledge,baseball,-0.27684408,5,0,14623,"Fact: Tiger Woods plays the sport of golf
Fact: Lastings Milledge plays the sport of",football,football
991,Mike Iupati,football,-0.55856633,4,2,5842,"Fact: Tiger Woods plays the sport of golf
Fact: Mike Iupati plays the sport of",baseball,basketball
72,Trent Dilfer,football,-0.1027862,3,2,5842,"Fact: Tiger Woods plays the sport of golf
Fact: Trent Dilfer plays the sport of",baseball,basketball
9006,Kevin Ollie,basketball,-0.19810514,4,1,14648,"Fact: Tiger Woods plays the sport of golf
Fact: Kevin Ollie plays the sport of",baseball,baseball
15114,Alan Trammell,baseball,-0.12230941,4,0,14623,"Fact: Tiger Woods plays the sport of golf
Fact: Alan Trammell plays the sport of",football,basketball
158,Brady Quinn,football,-0.15023792,2,2,5842,"Fact: Tiger Woods plays the sport of golf
Fact: Brady Quinn plays the sport of",baseball,basketball
12068,Eric Moreland,basketball,-0.15528493,3,1,14648,"Fact: Tiger Woods plays the sport of golf
Fact: Eric Moreland plays the sport of",football,football
1802,Corey Davis,football,-0.69585836,3,2,5842,"Fact: Tiger Woods plays the sport of golf
Fact: Corey Davis plays the sport of",golf,basketball
5882,Isiah Thomas,basketball,-0.09153662,3,1,14648,"Fact: Tiger Woods plays the sport of golf
Fact: Isiah Thomas plays the sport of",football,baseball
14498,Gary Carter,baseball,-0.16059817,2,0,14623,"Fact: Tiger Woods plays the sport of golf
Fact: Gary Carter plays the sport of",football,basketball
14850,Yorvit Torrealba,baseball,-0.36751708,6,0,14623,"Fact: Tiger Woods plays the sport of golf
Fact: Yorvit Torrealba plays the sport of",basketball,basketball
466,Matt Cassel,football,-0.56781006,3,2,5842,"Fact: Tiger Woods plays the sport of golf
Fact: Matt Cassel plays the sport of",golf,basketball
753,Kam Chancellor,football,-0.13250996,2,2,5842,"Fact: Tiger Woods plays the sport of golf
Fact: Kam Chancellor plays the sport of",baseball,baseball
14201,Ozzie Smith,baseball,-0.17594118,4,0,14623,"Fact: Tiger Woods plays the sport of golf
Fact: Ozzie Smith plays the sport of",golf,football
1868,Josh Allen,football,-0.11613362,2,2,5842,"Fact: Tiger Woods plays the sport of golf
Fact: Josh Allen plays the sport of",baseball,basketball
14799,Jeremy Affeldt,baseball,-0.29044828,4,0,14623,"Fact: Tiger Woods plays the sport of golf
Fact: Jeremy Affeldt plays the sport of",football,football
11847,Frank Kaminsky,basketball,-0.43777913,3,1,14648,"Fact: Tiger Woods plays the sport of golf
Fact: Frank Kaminsky plays the sport of",golf,baseball
1540,Aaron Donald,football,-0.0762047,2,2,5842,"Fact: Tiger Woods plays the sport of golf
Fact: Aaron Donald plays the sport of",baseball,basketball
518,Ron Rivera,football,-0.14325847,2,2,5842,"Fact: Tiger Woods plays the sport of golf
Fact: Ron Rivera plays the sport of",basketball,baseball
14096,Wade Boggs,baseball,-0.18674707,3,0,14623,"Fact: Tiger Woods plays the sport of golf
Fact: Wade Boggs plays the sport of",football,football
16728,Sonny Gray,baseball,-0.21652475,3,0,14623,"Fact: Tiger Woods plays the sport of golf
Fact: Sonny Gray plays the sport of",golf,football
5351,Derrick Rose,basketball,-0.037045836,3,1,14648,"Fact: Tiger Woods plays the sport of golf
Fact: Derrick Rose plays the sport of",baseball,football
901,Lamar Miller,football,-0.22988445,3,2,5842,"Fact: Tiger Woods plays the sport of golf
Fact: Lamar Miller plays the sport of",baseball,baseball
15815,Justin Turner,baseball,-0.3149497,2,0,14623,"Fact: Tiger Woods plays the sport of golf
Fact: Justin Turner plays the sport of",football,basketball
860,Marcus Trufant,football,-0.32984272,3,2,5842,"Fact: Tiger Woods plays the sport of golf
Fact: Marcus Trufant plays the sport of",golf,basketball
1353,Jim Irsay,football,-0.1910722,4,2,5842,"Fact: Tiger Woods plays the sport of golf
Fact: Jim Irsay plays the sport of",golf,baseball
160,John Elway,football,-0.091521285,3,2,5842,"Fact: Tiger Woods plays the sport of golf
Fact: John Elway plays the sport of",basketball,basketball
212,DeAngelo Hall,football,-0.46120667,4,2,5842,"Fact: Tiger Woods plays the sport of golf
Fact: DeAngelo Hall plays the sport of",basketball,baseball
12232,Juvonte Reddic,basketball,-0.42557037,6,1,14648,"Fact: Tiger Woods plays the sport of golf
Fact: Juvonte Reddic plays the sport of",baseball,football
221,Dwight Freeney,football,-0.056785624,5,2,5842,"Fact: Tiger Woods plays the sport of golf
Fact: Dwight Freeney plays the sport of",golf,basketball
5828,Manute Bol,basketball,-0.18883283,3,1,14648,"Fact: Tiger Woods plays the sport of golf
Fact: Manute Bol plays the sport of",football,football
702,Julius Thomas,football,-0.3164595,2,2,5842,"Fact: Tiger Woods plays the sport of golf
Fact: Julius Thomas plays the sport of",golf,baseball
14711,Jacoby Ellsbury,baseball,-0.018932704,5,0,14623,"Fact: Tiger Woods plays the sport of golf
Fact: Jacoby Ellsbury plays the sport of",basketball,football
8095,Hassan Whiteside,basketball,-0.13752502,4,1,14648,"Fact: Tiger Woods plays the sport of golf
Fact: Hassan Whiteside plays the sport of",football,football
10902,David Fizdale,basketball,-0.12345464,4,1,14648,"Fact: Tiger Woods plays the sport of golf
Fact: David Fizdale plays the sport of",golf,football
661,Jake Delhomme,football,-0.34160307,4,2,5842,"Fact: Tiger Woods plays the sport of golf
Fact: Jake Delhomme plays the sport of",basketball,basketball
6447,Al Horford,basketball,-0.055772353,3,1,14648,"Fact: Tiger Woods plays the sport of golf
Fact: Al Horford plays the sport of",football,football
12369,Ben Simmons,basketball,-0.052085306,2,1,14648,"Fact: Tiger Woods plays the sport of golf
Fact: Ben Simmons plays the sport of",baseball,football
6390,Paul Millsap,basketball,-0.03129367,3,1,14648,"Fact: Tiger Woods plays the sport of golf
Fact: Paul Millsap plays the sport of",golf,football
